DATE,LREM64TTUSM156S
2021-01-01,68.20279000000001
2021-02-01,68.47043000000001
2021-03-01,68.59721
2021-04-01,68.66589
2021-05-01,68.97403
2021-06-01,69.09635
2021-07-01,69.66294
2021-08-01,69.66363
2021-09-01,69.93788
2021-10-01,70.20831
2021-11-01,70.61938
2021-12-01,70.83883
2022-01-01,70.73431
2022-02-01,70.90482
2022-03-01,71.23267
2022-04-01,71.214
2022-05-01,71.35808
2022-06-01,71.22589
2022-07-01,71.32262
2022-08-01,71.46252
2022-09-01,71.42522
2022-10-01,71.2873
2022-11-01,71.30197
2022-12-01,71.63566
2023-01-01,71.69349
2023-02-01,71.78063
2023-03-01,71.87550999999999
2023-04-01,71.98092
2023-05-01,71.92525
2023-06-01,71.98663
2023-07-01,71.95161999999999
2023-08-01,72.0498
2023-09-01,72.04477
2023-10-01,71.9762
2023-11-01,72.09785
2023-12-01,71.82301
2024-01-01,72.02269
